epoch,s_per_epoch,total,contrib_pde,contrib_bc,contrib_ic,contrib_interface,contrib_pde_mech,contrib_bc_mech
128,0.545734,4.371685e+03,1.888304e-01,4.950108e-01,2.031624e+00,1.024220e-05,4.366995e+03,1.974346e+00
129,0.549456,4.333483e+03,2.443440e-02,4.953669e-01,2.033785e+00,1.025069e-05,4.328954e+03,1.976023e+00
130,0.548086,4.295969e+03,2.108472e-02,4.956078e-01,2.035362e+00,1.025382e-05,4.291439e+03,1.977340e+00
131,0.544612,4.259146e+03,1.561040e-01,4.957239e-01,2.036335e+00,1.025531e-05,4.254479e+03,1.978287e+00
132,0.547192,4.222464e+03,1.836499e-02,4.955445e-01,2.036041e+00,1.025255e-05,4.217936e+03,1.978366e+00
133,0.545954,4.186433e+03,1.878210e-02,4.953240e-01,2.035500e+00,1.024886e-05,4.181905e+03,1.978371e+00
134,0.548801,4.150907e+03,1.587072e-02,4.950697e-01,2.034750e+00,1.024526e-05,4.146383e+03,1.978344e+00
135,0.549413,4.115892e+03,1.889578e-02,4.947833e-01,2.033805e+00,1.024002e-05,4.111367e+03,1.978282e+00
136,0.554879,4.081377e+03,2.136426e-02,4.944683e-01,2.032683e+00,1.023244e-05,4.076850e+03,1.978196e+00
137,0.545998,4.047396e+03,6.859446e-02,4.941229e-01,2.031378e+00,1.022433e-05,4.042823e+03,1.978076e+00
138,0.546984,4.014003e+03,1.896219e-01,4.939338e-01,2.030785e+00,1.022002e-05,4.009310e+03,1.978439e+00
139,0.547165,3.980859e+03,2.402768e-02,4.941926e-01,2.032295e+00,1.022570e-05,3.976328e+03,1.980098e+00
140,0.546942,3.948337e+03,1.962293e-02,4.944029e-01,2.033505e+00,1.022848e-05,3.943808e+03,1.981636e+00
141,0.544451,3.916266e+03,1.175164e-02,4.944566e-01,2.034002e+00,1.022922e-05,3.911743e+03,1.982753e+00
142,0.546798,3.884570e+03,1.236486e-02,4.944565e-01,2.034199e+00,1.022794e-05,3.880045e+03,1.983724e+00
143,0.547275,3.853297e+03,1.212626e-02,4.943956e-01,2.034072e+00,1.022581e-05,3.848772e+03,1.984514e+00
144,0.547298,3.822439e+03,1.393677e-02,4.942536e-01,2.033548e+00,1.022268e-05,3.817912e+03,1.985047e+00
145,0.545997,3.791965e+03,2.832025e-02,4.939841e-01,2.032446e+00,1.021788e-05,3.787425e+03,1.985167e+00
146,0.549300,3.761809e+03,1.827681e-02,4.935365e-01,2.030571e+00,1.020828e-05,3.757282e+03,1.984709e+00
147,0.546876,3.732043e+03,2.082246e-02,4.929882e-01,2.028236e+00,1.019720e-05,3.727517e+03,1.983901e+00
148,0.549520,3.702805e+03,1.409409e-01,4.923908e-01,2.025654e+00,1.018608e-05,3.698164e+03,1.982886e+00
149,0.546729,3.673829e+03,7.263257e-02,4.921642e-01,2.024829e+00,1.018460e-05,3.669256e+03,1.982855e+00
150,0.547141,3.645370e+03,8.792493e-02,4.920607e-01,2.024596e+00,1.018685e-05,3.640783e+03,1.983108e+00
151,0.546399,3.617243e+03,1.504490e-01,4.916422e-01,2.023030e+00,1.018480e-05,3.612595e+03,1.982372e+00
152,0.546796,3.589410e+03,2.040856e-01,4.909309e-01,2.020229e+00,1.017764e-05,3.584714e+03,1.980722e+00
153,0.545296,3.561958e+03,1.799139e-01,4.905990e-01,2.019293e+00,1.017968e-05,3.557288e+03,1.980115e+00
